Word,Type,Sense A Sentence 1,Sense A Sentence 2,Sense A Sentence 3,Sense B Sentence 1,Sense B Sentence 2,Sense B Sentence 3,Sense A Standardized,Sense B Standardized
Bow,Homonymy," She set a light wood box wrapped in a silver bow on the table at the center of the sitting area, and sat down.","Find it on the Little Free Library website for the prebuilt Cedar Roof Basic design–complete with free shipping, a big red bow , and stuffed full of free books from Coffee House Press.","These satin garters have delicate lace details and a petite, white satin bow which are great for the garter toss. ",One gift was a large gorilla bow and arrow placed on the side of the house.,"One should not go out with a sword, bow , shield, club, or spear.",Can you go downstairs and grab the bow and arrows that I made for her?,The gift is wrapped with a bow and ribbon,The hunter shoots with a bow and arrow
Band,Homonymy,The six-man band was great–even though this was only their second public performance in this configuration., Front man David Zach of the Christian rock band Remedy Drive shares his story of learning about the horrors of sex trafficking.,The Marne Division's marching band followed as their melody kept the formation of Soldiers from 703rd BSB in step. ,"If the stitching came loose on the sole, a rubber band took care of the problem - we put it around the toe, stopping it from flapping as I walked.","I was in Arkansas this week with my family visiting Jon's parents, and one day I drove to the nearby dollar store to find some hair bands that we had forgotten to bring. ",The same thing happens when you stretch a rubber band. ,The performer sings for the band on stage,The nurse ties the band around the patients wrist
Fan,Homonymy,"Sally Ran, nude with her ostrich feather fan , was a big attraction. ","This may be sufficient electricity for lighting and cellphone charging; the ability to use a fan , TV, radio, computer; or power for a retail business.",Clean the fan and update the BIOS – There is an outcomes of the cooling speed as well as the BIOS., I am very assuming you are a Liverpool fan ?,"I am a big fan of Global Classrooms because it exposes students, teenagers, and young adults to the issues that the UN is addressing.",I've always been a fan of these underdog edibles.,The actor signs the fan an autograph ,The technician turns off the fan 
Pop,Homonymy,"If you feel like celebrating these milestones, why not raise a glass of fizzy pop to the five young Ryans.","They kept this charade going until noon or later the following day, mainly because that's about how long it takes the caffeinated soda pop and sugar foods to wear off, meaning that all parties are tuckered out and need to be taken home and shoved onto a sofa.",Parents are asked not to bring special lunches or soda pop to students at school because it creates a disruptive influence in the cafeteria and it may make some students feel hyper.,We play indie pop that you won't hear on the radio,"I don't listen to "" Pop "" much these days, just can't take the Fergie, Kanye West, or Taylor Swifts of the world. ","There's indie, rock, pop and world music in the mix, but it's all-night dance raves on the weekend that are the lifeblood of these huge spaces.",The station plays pop on the radio,The customer drinks pop at the cafe
Rock,Homonymy,. She loudly played kickass rock on her speakers around Davidson.,"But, ultimately, rock is about transcending the intellect, and just losing yourself in a maelstrom of sound and feeling.", Currently based in Paris Michael write both contemporary classical and rock which is some achievement.,I never would have considered a foundation of sand and rock to help level the ground before one brick was even put in place. ,"So here we are, 21 years later with the boy who was born between a rock and a hard place.","Jesus raising Lazarus from the dead, Jesus coming out of the sky with a sword in His mouth, Moses striking a rock with his rod and God punishing Him for His disobedience – many times it should be understood spiritually. ",The guitarist discovered rock as a teenager,The explorer pushed the rock aside
Mold,Homonymy,"They are exposed to similar environmental pollutants, including pesticides and herbicides, cleaning chemicals, mold , second hand smoke, vehicle emissions, and even genetic factors.","In the process of checking a home's insulation, she often discovers dangerous mold and carbon monoxide poisoning that otherwise would have gone unnoticed. ","Some mushrooms are white mold mushrooms and some look like white mold mushrooms (see photo), but are bird-nest mushrooms.","He's criticized for strategies and successes, lack of acknowledgement for personal merit, quick dismissal of ideas that don't fit the mold , and failure to allow for and acknowledge small wins with individual employees. ","One in our group was how you involve the beneficiaries in these competitions directly, so we break the mold of Northern winners, Southern venues.",Please don't try to make the worship leader fit your mold. Celebrate their differences and utilize their skills and abilities. ,The cleaner scrapes the mold off the wall,The sculptor fills the mold with plaster
Chip,Homonymy,"Can you tell us the exact model of your ThinkPad, and especially the wireless chip used therein?","Appliance controller is a ""smart"" chip about the size of a credit card. ",the use of the GTA04 since it features nearly-zero known freedom issues (the only exception being that the WiFi chip needs a loaded firmware).," Drewnowski found that a dollar could buy 1,200 calories from fat of cookies or potato chips but only 250 calories from fat of carrots. ","Enjoy what you eat: Yes even your Apple pies, potato chips and ice creams ! "," In the episode of the Seinfeld television series called ""The Implant,"" George is spotted dipping the same chip into dip more than once after taking a bite out of it. ",The programmer designs the chip for a new computer ,The child eats the chip out of the bag
Match,Homonymy," Despite his greater experience, Spitz meets his match when Buck challenges his leadership in a fight to the death. ","I heard a heavyweight match between Joe Louis and Max Schmelling, which Joe Louis won in the first round by a knockout","In addition to these social restrictions, Zoroastrians face the unique problem of attempting to find a match within the increasingly dwindling community. "," but–the small flame went out, the stove vanished: she had only the remains of the burnt-out match in her hand. ","He lit a match and ran from the location, witnesses told police.","Duc calmly chanted in protest of the treatment of Buddhists by the then South Vietnamese government, lit a match and burned himself to death.",The player wins the match with a goal,The woman lights the match with a flick
Panel,Homonymy,"The large panel arrived at destination by ship, traveling down the Arno river as far as the harbor in Pisa, then over the open sea.",This large panel was commissioned by Sister Laura dei Pazzi for a convent in Montedomini . ," Solar panels can range in size from a few square inches, such as those used for single light fixtures, up to the size of a large picture.",Stay tuned to hear about a potential panel we are putting together for Saturday. , Heather Cooley will participate on a panel about water requirements for hydropower generation at the International Hydrological Association's annual conference,". Today, I would like to identify four such challenges, which the distinguished panel may wish to address in subsequent discussion. ",The button opened the panel to reveal a hidden room,The reporter asked the panel to explain the crisis
Pitcher,Homonymy,Zero Water brand filter because my current pitcher is an awkward shape for the refrigerator and because the Zero Water pitcher comes with its own water meter for measuring TDS. ,"It was a large pitcher of ice cold spring water, the best available. ","Further, the red water pitcher with the white top being carried as a Lantern of the Telesphoros is connected to the meaning of this transformation"," I remember 'watching' the Cincinnati Reds on such a radio, back when Bucky Walters was a pitcher for the Reds. ","Especially for all-star pitcher Austin Braxton, who has a one-way ticket out of town with his scholarship .","The Mets sent up pitcher Zack Wheeler as a pinch-hitter, and he put down a perfect sacrifice bunt that moved Young to second.",The waiter refilled the pitcher on the table,The referee kicked the pitcher out of the game
Pupil,Homonymy, The eyes also had no pupil like ours.,"U.S. Navy Lt. Cmdr. Anthony Dill, a pilot and mobilized reservist with U.S. Central Command, has his right pupil checked for reaction to light with a transalluminator during a routine eye exam Nov. 5, 2015, at MacDill Air Force Base.",We describe a method for the localization of eye pupil based on an ensemble of randomized regression trees and use several publicly available datasets.,"Every pupil should reach their full potential, his potential is high, possibly that of a pupil two years older, but the schools are not tackling this, or even acknowledging it. "," It comes to the Institute with a more humble attribution to Jean-Jacques Lagrenée le jeune (1739-1821) who was the pupil of his more staid brother L.-J.-F. Lagrenée (called l'ainé ), with whom he worked in Russia. ", Our target for 2014-15 is to achieve 95.3%; this means that on average no pupil missed more than 5% of school days,The eye doctor examined the pupil for infection,The professor taught the pupil for the exam
China,Homonymy,"The ship left Spain to appear in a festival in China , went back to Spain for a year, and then set sail to North America stopping on its way in the Dominican Republic.","The upheaval in China is a revolution which, if we analyze it, we will see is prompted by the same things that prompted the British.","From the Russian Revolution to the Sandinistas in Nicaragua, from Communist China to the FMLN in Salvador – not one was permitted to rise or fall solely on its own merits.","She is to be maintained at the same standard of living as she had when her husband was alive--even with servants, fine china , and the like.",The primary benefit of fine china is its unusual shapes. ,"The term, fine china , covers the spectrum of porcelain pieces, including tableware, vases, and figures. ",The president condemns china for abusing human rights,The couple buys china for their dining room
Seal ,Homonymy,"""If the experiment fails, then the seals ate them all. ",The current harbour seal population could eat all the coho pumped into the Strait in 12 days., Seal populations are like a huge fishery.,Myringoplasty procedures cover the hole with a small piece of paper or gel foam that temporarily creates a seal that encourages the body's normal healing processes. ., The use of a seal by men of wealth and position was common before the Christian era. ,. The importance of the seal as a means of authentication necessitated that when authority passed into new hands the old seal should be destroyed and a new one made. ,The shark eats the seal in the ocean,The officer inspected the seal on the envelope
Cricket,Homonymy,"The chorus of crickets , cicadas and who knows what else outside that is now in prime time. ",. It was at this time that I noticed the crickets were all chirping very loudly. ," Save for the tree crickets , there were no other sounds.","Greg Anderson, her former partner and Luke's father, murdered his son in the nets after cricket practice. ",". They that may include Volleyball, Flag Football, Wiffleball, Badminton, Table Tennis, Cricket , Speed Ball, Lacrosse, Floor Hockey, Softball, Basketball, Ultimate Frisbee, Pickle Ball, and many others","With the aim of building capacity and developing local cricket , the Rwanda Cricket Association (RCA) will hold an umpiring and scoring course on Saturday afternoon at Kicukiro",The boy hears the cricket at night,The team plays cricket around the world
Yard,Homonymy,Dress print was 11 cents a yard and gingham was 14. ,The ball bounces in front of him and he shoots on the half-volley 14 yards from goal but fires over. , The Hammers are shooting from 20 yards and not really troubling Edwin van der Sar," They show a photo they took of his head, lying in the front yard . ","After beginning the ride up and down our street, you would soon see about 14 teenagers at our yard and all quite enthusiastic about the bicycle. ",The proposal would create a rear yard and open space area for one of the existing units where there previously was none. ,The americans measure a yard as three feet ,The gardeners water the yard once a week
Drill,Homonymy,"Occurring on Feb 5, 2007, this dream tells of a rather weird fire drill and shows my interest in getting high speeds from gliding."," In 2013, the Ohio Army National Guard 52nd Civil Support Unit conducted a training drill where Second Amendment supporters with ""anti-government"" opinions were portrayed as domestic terrorists . "," I, of course, knew the drill and fed him pizza while pitching OT to him. "," After making a long incision in the eagle's leg, Dr. Rich used a sagittal saw connected to a pneumatic drill to re-fracture the eagle's leg (tibiotarsus). ","This course provides an overview of solid-state laser and the application in micromachining such as via drill , laser dicing, laser link processing, laser glass cut and laser nanostructuring.", There is often a LED indicator light on top of the drill best cordless screwdriver that will permit you to know the existing charge from the battery. ,The mechanic uses the drill to tighten the screws,The sargeant watches the drill at the military base
Coach,Homonymy,Each Math Coach has 5 students to meet with during this 30 minute increment so each student will get an average of 4-6 minutes of instruction,"If a coach tells a player to do something that is against her nature, it's difficult to refuse .","The Cavs fired coach Mike Brown, who spent only one season leading the Cavs during his second coaching stint with the team, on May 12. ","Attendees will board a coach from the conference hotel and travel along the 401 HWY, Canada's busiest east-west transportation route. ","There was a crease, becuase it was natural materials and her designers were young and inexperienced and didn't think of the ride in the coach crushing it.","On the way down, the Engineer in the train engine uses compression brakes to slow the train and the Brakeman in the coach uses disc brakes to keep the coach from bumping into and pushing the train down the hill. ",The horses pull the coach down the street,The team thanks the coach after the tournament
Race,Homonymy,"In the race for top spot in Player Rater, Luka Modric (7.31) is neck-and-neck with Wilson Palacios (7.30) for pole position.","We are able to run our own race up here but given the way we self-destruct when anyone says anything new, Sydney thinks we can't be left alone,''",Females are not left behind in the intergenerational race for improvements in quality of life. ,"With religious leaders of every denomination and every race and ethnicity, it really emphasizes the fact that this is a moral issue","This can mean teaching white people about race , teaching affluent people about class, etc. ","He seeks to monopolize the issue of crime, leveraging it for political support and using it to reframe issues of poverty and race . ",The runner finished her race in an hour,The researcher used the participants race as a criteria.
Racket,Homonymy," If anyone thinks this whole racket is part of a new live Monty Python sketch ahead of their reunion gig this month in London, that's because it is. ","In an open letter in 2000 senior SPLA commander Aleu Ayieny Aleu stated that ""slave redemption"" had become a "" racket of mafia dimensions"". "," When out in the alley there arose such a racket , Nevermind, just the cops nabbing a guy selling crack ...",The badminton racket offers maximum power in badminton smashes.,Heavy head racket helps in generating more power in badminton smashes.,This technology helps to move this racket very smoothly.,The landlord heard the racket as she approached the building,The player swung the racket as she approached the net
Chair,Homonymy," It is the responsibility of the Chair to ensure that, in decision-making situations, respect for diversity and the common good of all in the Faculty is considered.",the Chair of the GEF Alumni presented Fred with a cake. ,those results reflect my own experience as a department chair and academic dean overseeing distance courses.,"She was also in a wheel chair, which was why I noticed her on the dance floor. ",It would have been hard for them to learn that lesson sitting in a chair in a classroom in North Carolina. ,his mum tells him he fell out of a high chair when he was two chasing a robin,The school replaces the chair of the department.,The carpenter builds a chair out of wood.
Dough,Homonymy,"Additional emphasis is placed on restaurant production of pies, cakes, variety breads, fillings, sweet dough , and specialty items. ","Remove the dough from the bowl, knead the dough again, then return it to the bowl. ",". Divide the dough into four pieces and shape each one into a oval, and place them evenly-spaced apart on an insulated baking sheet. ","Construction loans off the books through government help, issuing new stock or finding new investors willing to hand over the dough , may take much longer.", So thanks for handing over the dough and shutting the [censored] up. ,all the New England whaling ports died and all the guys making dough off whales were just about wiped off the face of the earth.,The baker rolled the dough into a sheet.,The gangster earned some dough on the last job.
Mole,Homonymy,Many of the British intelligence officers guessed that its management had long sat down a mole working for Russia. ,"Authors Adrian Levy and Cathy Scott-Clark made reference to an Indian citizen was allegedly a mole for the Inter Services Intelligence [ISI], Pakistan's external intelligence agency, codenamed, 'Honey Bee'.","John Constantine suspects there is one. He should know, because the mole is Constantine himself, allying himself with the Faerie Queene against the humans.", A mole is a skin growth made up of cells (melanocytes or nevus cells) that produce color (pigment). ,"These Moles are usually brown, but they can be blue, black, or flesh-colored. ","If you notice any changes to a mole or patch of normal skin, tell your doctor who may refer you to a dermatologist. ",The boss worked as a mole undercover in Vietnam.,The boy spotted a mole running in the field.
Mint,Homonymy,"Adams also experimented with adding flavors to his gum, including sugar, mint , and licorice. ",Fill the glass with crushed ice and garnish with a mint leaf, I could also see this being used in cocktails that call for mint or mint liqueur., Our group next headed down 16th Street Mall to the Denver Mint . We spent a fascinating 40 minutes learning about how coins are made.,"After the success of their Superman series in 2013, the Canadian Mint debuted a new set of coins honouring the Man of Steel at this year's Fan Expo in Toronto.","According to U.S. Treasury Secretary Tim Giethner, our U.S. Mint intends to remove the penny and nickel coins from circulation beginning early in January 2013. ",The gardener planted mint in the yard.,The state built a new mint in Philadelphia.
Newspaper,Polysemy,The story I read in the newspaper that particular morning suddenly made it all seem very real.,"You may, for example, pay for an advertisement in a newspaper or on the radio urging the public to vote for the candidate you want elected. ",It's not the same thing as reading a book or newspaper.,One can imagine only with dismay the witch's brew the rest of the nation's newspapers were feeding to their readers.,"The Guardian newspaper has decided to place climate change "" front and centre "", and others must do the same.","According to German newspaper Frankfurter Allgemeine Zeitung, a reporter from Forbes has published information.",The father reads the newspaper in the morning. ,The journalist works for the newspaper when he graduates.
Article,Polysemy,Bracelet as a thing is an article of jewelry that is worn around the wrist.,"It's often recommended that you bring home a blanket, a worn article of the baby's clothing, or a used diaper with the baby's scent for the pet.","He has brought us an incredible amount of joy, not to mention more than a few chewed up articles of clothing and household items!",It's just not enough to read articles every day about women who are hurt in our society by men.,"As with all my articles in WdW Review , the 'take' is always personal, intimate almost.",An earlier version of this article appeared in the MacroPolis weekly e-newsletter received by all subscribers.,The shop sells articles of clothing,The newspaper publishes articles about current events
Subject,Polysemy,Green roofs is a subject that Dusty lives and breathes and he has played a leading role in many exciting projects.,I still find the entire subject to be an opaque mystery from what I've read (elsewhere) so far.,The continued absence of inflight service went from an annoyance to a subject of serious concern.,The truth is that I get a lot more out of storytelling than my subjects do.,"Whether my subject is Muslim women, an African American lesbian or black men, I am working from the premise that we are not simply what we look like.","During this time, he was the subject of inhumane treatment, including violence and torture, and exposure to the elements.",Chemistry was my favorite subject in school. ,The man was the subject of a hate crime last month.
Channel,Polysemy,Pavlopoulos's addition means that Tsipras has opened a channel to the pool of politicians and voters that still remain faithful to former Prime Minister Kostas Karamanlis.,"Lidar technology (lidar combines the words light and radar) measures bathymetry and ocean waves, navigation channel shoaling, wetlands restoration, shore protection, and coastal processes.",This is because people have created channels within the swamps to allow water flow hence its loss and some who were living within the camps that are on forest reserves.,The parliamentary TV Channel will be broadcasting the event. ,This was a part-time channel previously available on Channel 305 and is now a full-time channel CW (Channel 305) is available to all basic.,"That may be true of the National Geographic channel , Disney movies and children's fairytales, but it is no longer true of the real world.",The tourist crosses the English Channel by boat. ,The child changes the channel to watch her favorite show. 
Solution,Polysemy,"So, two hours and 2 liters of IV saline solution with dextrose later, I started to sweat again.",The newly identified chemical solution is constituted of chemical compounds that have never been used for such applications.,A small electrical charge or a liquid solution may be applied to the exposed part of the nail bed.,"However, existing policy offers solutions to many of the challenges identified in Sen. McCaskill's report, including education for students and employees.","It is important to get the policy right – identify the problem, come up with a solution and ask if it is good for the kids and education.","Library bloat has essentially been the norm for web applications, but now there is a better solution!",The scientist mixes a solution from water and sugar,The team reaches a solution to the problem
Company,Polysemy,"But, if you are merely employed by a company (or partnership) with Federal government contracts, you are permitted to make contributions from your personal savings.",The workers sued the company for violating the federal Fair Labor Standards Act (FLSA). ,"We are the only Vermont company carrying a full line of new off-the-shelf and custom vat pasteurizers, make vats, and mini bulk tanks.",Thanks for your company.,"Pigs love human company and enjoy attention, tummy rubs and scratching.",Luckily we have company coming over once in a while and then you should see us all whirling through the house.,The boss leads the company to success ,The sisters keep each other company in times of need. 
Address,Polysemy,President Poroshenko is expected to give an address to the nation which will contain at least two key elements.,"Canadian Member of Parliament Irwin Cotler, in a keynote address at the conference, spoke of the absurdity of calling Israel ""an apartheid state. ""","Mr. Richárd Hörcsik, Chair of the Committee on European Affairs in his opening address welcomed the new European Commission's approach towards the national Parliaments.",Click on any email address to contact that member of the executive board.,E-mail sent to a student's official University address cannot be accessed from within MyCourses.,"I ran across a website, address I can't remember, but it was explaining how the Pentagon was hit by a missile or small plane.",The spokesperson gave the oral address to the shareholders.,The mailman knew the address from the day before.
Foot,Polysemy,One acre-foot is equivalent to a football field with one foot of sediment. ,"During the past week, Perkins said, the floor has dropped about a foot and there's some concern that the weight from the seafood market might cause the pier to collapse.","I could not see over the craft, (I am 5.9ft), but it wasn't much higher than me – maybe a foot or two.","After a week or so, I noticed the pain had moved lower into my foot .","The splint is too tight if you have numbness, tingling, or if your foot becomes cold and blue.","The user sits on top of the drum-like appliance and pumps a pedal with their foot , which agitates, cleans, rinses, and then spins-dries clothes.",The carpenter sawed a foot off the end of the plant,I have a blister on my left foot. 
